"sample_id","reads_before","reads_after","q20_rate","q30_rate","status","reads_removed","read_category","final_status"
"ERR13827976",115856,114876,0.947362,0.92002,"Ok",980,">= 30,000","good quality"
"ERR13827977",140172,139084,0.945121,0.916554,"Ok",1088,">= 30,000","good quality"
"ERR13827978",113106,112326,0.938508,0.906367,"Ok",780,">= 30,000","good quality"
"ERR13827979",112070,111238,0.949078,0.9217,"Ok",832,">= 30,000","good quality"
"ERR13827980",84374,83806,0.946748,0.917413,"Ok",568,">= 30,000","good quality"
"ERR13827981",94440,93630,0.944801,0.914945,"Ok",810,">= 30,000","good quality"
"ERR13827982",104570,103610,0.938035,0.906477,"Ok",960,">= 30,000","good quality"
"ERR13827983",80000,79340,0.939715,0.908075,"Ok",660,">= 30,000","good quality"
"ERR13827984",148082,146622,0.928071,0.888381,"Ok",1460,">= 30,000","good quality"
"ERR13827985",94688,93624,0.941587,0.9096,"Ok",1064,">= 30,000","good quality"
"ERR13827986",114574,113416,0.936395,0.901388,"Ok",1158,">= 30,000","good quality"
"ERR13827987",146714,145680,0.942633,0.912499,"Ok",1034,">= 30,000","good quality"
"ERR13827988",138884,137726,0.941239,0.90868,"Ok",1158,">= 30,000","good quality"
"ERR13827989",103936,103054,0.931491,0.893467,"Ok",882,">= 30,000","good quality"
"ERR13827990",117302,116750,0.937003,0.905674,"Ok",552,">= 30,000","good quality"
"ERR13827991",174254,173066,0.939368,0.906753,"Ok",1188,">= 30,000","good quality"
"ERR13827992",1023766,1018146,0.939966,0.909358,"Ok",5620,">= 30,000","good quality"
"ERR13827993",74820,74144,0.943503,0.914715,"Ok",676,">= 30,000","good quality"
"ERR13827994",36424,35868,0.937629,0.907378,"Ok",556,">= 30,000","good quality"
"ERR13827995",17228,17072,0.939198,0.907871,"low quality",156,"< 30,000","low quality"
"ERR13827996",225038,223432,0.941766,0.912377,"Ok",1606,">= 30,000","good quality"
"ERR13827997",37576,37260,0.937324,0.905628,"Ok",316,">= 30,000","good quality"
"ERR13827998",144144,143166,0.939079,0.908076,"Ok",978,">= 30,000","good quality"
"ERR13827999",28656,28240,0.932711,0.900514,"low quality",416,"< 30,000","low quality"
"ERR13828000",125230,124558,0.941904,0.913237,"Ok",672,">= 30,000","good quality"
"ERR13828001",194530,193290,0.939354,0.908279,"Ok",1240,">= 30,000","good quality"
"ERR13828002",166086,165326,0.943337,0.915028,"Ok",760,">= 30,000","good quality"
"ERR13828003",312144,310422,0.939721,0.909789,"Ok",1722,">= 30,000","good quality"
"ERR13828004",42868,42336,0.935736,0.905318,"Ok",532,">= 30,000","good quality"
"ERR13828005",41094,40798,0.931699,0.899399,"Ok",296,">= 30,000","good quality"
"ERR13828006",118068,117546,0.940546,0.910569,"Ok",522,">= 30,000","good quality"
"ERR13828007",178282,176458,0.932188,0.897038,"Ok",1824,">= 30,000","good quality"
"ERR13828008",354290,351756,0.935702,0.903319,"Ok",2534,">= 30,000","good quality"
"ERR13828009",3530,3490,0.930068,0.896409,"low quality",40,"< 30,000","low quality"
"ERR13828010",35384,35206,0.947653,0.921682,"Ok",178,">= 30,000","good quality"
"ERR13828011",40836,40544,0.939777,0.907541,"Ok",292,">= 30,000","good quality"
"ERR13828012",291046,289328,0.932325,0.898884,"Ok",1718,">= 30,000","good quality"
"ERR13828013",123794,123238,0.94587,0.918448,"Ok",556,">= 30,000","good quality"
"ERR13828014",11114,11038,0.941847,0.912434,"low quality",76,"< 30,000","low quality"
"ERR13828015",338014,335930,0.919683,0.87945,"Ok",2084,">= 30,000","good quality"
"ERR13828016",182976,181740,0.929154,0.892708,"Ok",1236,">= 30,000","good quality"
"ERR13828017",260052,259022,0.946267,0.918852,"Ok",1030,">= 30,000","good quality"
"ERR13828018",134878,132362,0.830427,0.75597,"low quality",2516,">= 30,000","good quality"
"ERR13828019",111042,110640,0.950514,0.926223,"Ok",402,">= 30,000","good quality"
"ERR13828020",43476,42788,0.93254,0.901362,"Ok",688,">= 30,000","good quality"
"ERR13828021",196920,195676,0.938098,0.906825,"Ok",1244,">= 30,000","good quality"
"ERR13828022",48100,47710,0.938997,0.907987,"Ok",390,">= 30,000","good quality"
"ERR13828023",349594,347282,0.919664,0.880759,"Ok",2312,">= 30,000","good quality"
"ERR13828024",16756,16674,0.945842,0.919076,"low quality",82,"< 30,000","low quality"
"ERR13828025",296434,294420,0.940366,0.908395,"Ok",2014,">= 30,000","good quality"
"ERR13828026",53414,52990,0.937792,0.904161,"Ok",424,">= 30,000","good quality"
"ERR13828027",14764,14666,0.942225,0.913077,"low quality",98,"< 30,000","low quality"
"ERR13828028",16700,16590,0.936218,0.902979,"low quality",110,"< 30,000","low quality"
"ERR13828029",284866,282910,0.914884,0.872396,"Ok",1956,">= 30,000","good quality"
"ERR13828030",176638,173962,0.93236,0.893196,"Ok",2676,">= 30,000","good quality"
"ERR13828031",194372,191546,0.9347,0.896854,"Ok",2826,">= 30,000","good quality"
"ERR13828032",214204,211738,0.934181,0.895354,"Ok",2466,">= 30,000","good quality"
"ERR13828033",187618,185166,0.93586,0.897927,"Ok",2452,">= 30,000","good quality"
"ERR13828034",200258,197980,0.936422,0.898729,"Ok",2278,">= 30,000","good quality"
"ERR13828035",175764,172398,0.929117,0.888468,"Ok",3366,">= 30,000","good quality"
"ERR13828036",200486,197920,0.939512,0.904141,"Ok",2566,">= 30,000","good quality"
"ERR13828037",186046,183458,0.939813,0.904306,"Ok",2588,">= 30,000","good quality"
"ERR13828038",193906,191420,0.940468,0.905799,"Ok",2486,">= 30,000","good quality"
"ERR13828039",219586,215634,0.937004,0.900907,"Ok",3952,">= 30,000","good quality"
"ERR13828040",191562,188808,0.936301,0.899983,"Ok",2754,">= 30,000","good quality"
"ERR13828041",167146,164604,0.935494,0.896705,"Ok",2542,">= 30,000","good quality"
"ERR13828042",181086,178392,0.928969,0.887342,"Ok",2694,">= 30,000","good quality"
"ERR13828043",174588,172368,0.926869,0.884707,"Ok",2220,">= 30,000","good quality"
"ERR13828044",183282,179296,0.91786,0.870215,"Ok",3986,">= 30,000","good quality"
"ERR13828045",101204,98912,0.917205,0.868592,"Ok",2292,">= 30,000","good quality"
"ERR13828046",167410,164322,0.918392,0.87155,"Ok",3088,">= 30,000","good quality"
"ERR13828047",180976,177224,0.927154,0.884224,"Ok",3752,">= 30,000","good quality"
"ERR13828048",184772,181714,0.927844,0.885826,"Ok",3058,">= 30,000","good quality"
"ERR13828049",174496,170362,0.92114,0.874649,"Ok",4134,">= 30,000","good quality"
"ERR13828050",188494,185264,0.927387,0.883979,"Ok",3230,">= 30,000","good quality"
"ERR13828051",159186,156372,0.925488,0.881528,"Ok",2814,">= 30,000","good quality"
"ERR13828052",153112,151016,0.921669,0.878409,"Ok",2096,">= 30,000","good quality"
"ERR13828053",193190,190156,0.906448,0.855144,"Ok",3034,">= 30,000","good quality"
"ERR13828054",223218,220672,0.924126,0.880987,"Ok",2546,">= 30,000","good quality"
"ERR13828055",198492,196090,0.92552,0.883511,"Ok",2402,">= 30,000","good quality"
"ERR13828056",189528,187486,0.925437,0.883376,"Ok",2042,">= 30,000","good quality"
"ERR13828057",195452,192504,0.924251,0.882191,"Ok",2948,">= 30,000","good quality"
"ERR13828058",201708,199186,0.922045,0.87837,"Ok",2522,">= 30,000","good quality"
"ERR13828059",158620,156176,0.903603,0.850419,"Ok",2444,">= 30,000","good quality"
"ERR13828060",170736,168466,0.923291,0.88173,"Ok",2270,">= 30,000","good quality"
"ERR13828061",220694,217826,0.928075,0.887929,"Ok",2868,">= 30,000","good quality"
"ERR13828062",240866,237658,0.921324,0.876378,"Ok",3208,">= 30,000","good quality"
"ERR13828063",182146,179726,0.923257,0.880223,"Ok",2420,">= 30,000","good quality"
"ERR13828064",195880,193842,0.923935,0.881546,"Ok",2038,">= 30,000","good quality"
"ERR13828065",205564,202124,0.922125,0.879439,"Ok",3440,">= 30,000","good quality"
"ERR13828066",315442,311054,0.922973,0.879157,"Ok",4388,">= 30,000","good quality"
"ERR13828067",142700,139886,0.910127,0.858584,"Ok",2814,">= 30,000","good quality"
"ERR13828068",224904,221762,0.931403,0.891809,"Ok",3142,">= 30,000","good quality"
"ERR13828069",187010,184054,0.929959,0.888594,"Ok",2956,">= 30,000","good quality"
