name	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88
Bacteroides	2.893015974844695	2.7604049036896816	3.3305189478500585	2.862561878540949	2.651358009264853	1.984995363549575	1.1849157160803152	2.4896557396736343	0.17023208231675913	0.41650236371098703	1.112595054500689	2.3898456545464573	2.138003939145504	-0.5973133882970458	3.1585786580613435	3.1290654734829664	0.5253964519501251	-1.119038302521072	-0.9668464871791462	1.1697534683406383	1.5668503267782858	-19.225008301633736	2.7979040897068925	-1.5176774455588364	0.24649406715038946	-19.225008301633736	1.0751374919657888	1.7513481629948364	-19.225008301633736	2.9454117846893277	3.1176457785999423	2.397605546456517	1.4626303576695232	2.968203468928176	0.6259836888552934	-0.46073785329129446	1.9248316066310736	3.1447985356982775	2.909488381722597	0.9148612187118479	0.3494040302078174	1.8807951387771338	2.1531835030524213	3.1176457785999423	2.19887673071132	2.9775867623997536	1.9090418048984388	3.3462397956370067	4.185628725206484	-1.2986238794961515	0.3926206317076	-19.225008301633736	2.749590910998447	2.696413454317045	1.410518621004667	1.0039612134978944	3.5119598352784207	1.560292926232127	0.006602658534957229	4.124880737719155	-0.5343004204683117	0.8931212320754423	3.201550023218398	1.8159837291128316	0.762202853741452	3.452702586817824	4.004436320376214	1.8684408292761985	0.29094582972122396	3.145954159863865	-19.225008301633736	3.3411852911151287	1.2407813049179595	1.2198655097679856	-1.439205830117341	2.0429047075541753	0.12389174505805745	-0.20549105659266775	-19.225008301633736	1.3635826319860724	-0.11118037712142659	-0.01587019731710093	-19.225008301633736	1.0104971844776793	1.8970336552700422	2.466761138633763	2.020616394892338	2.8870487766311514
Bifidobacterium	-15.946730444420766	-15.946730444420766	-15.946730444420766	-15.946730444420766	4.316085976084721	0.3536867633315084	3.0335660874670225	4.843259024568553	3.44850993952973	-15.946730444420766	3.463491493145347	5.714587616181313	-15.946730444420766	1.9959144985885997	-15.946730444420766	6.526778181550766	-15.946730444420766	-15.946730444420766	-15.946730444420766	5.744279405988716	4.715723253128887	4.543341505357934	0.8645123870974989	4.908440463405584	1.1268766515649902	5.517996433364141	3.2158876442609765	-15.946730444420766	5.604650433496075	5.5151338359895075	5.675883403669488	2.1028866181407677	6.069068373831062	4.935247083680466	3.0335660874670225	3.027835412758037	2.4739502995316	1.3652876750099883	5.999428081704092	6.261996125140035	3.5177543517047143	5.563172916172929	5.964073890388157	1.7399811244513992	5.930897696298247	3.099888730398095	4.726294176088898	4.592612554364717	3.0392641085816594	-15.946730444420766	3.740897903018924	-15.946730444420766	1.780803118971654	2.6970938508458095	4.059095519396656	5.937809442318466	2.550911340667728	5.102957293293357	2.639464738009173	2.0734727329344738	1.1646169795478372	4.590205814334151	-15.946730444420766	-15.946730444420766	-15.946730444420766	6.706751604900717	4.905807728229784	-15.946730444420766	4.300111195476987	1.652969747461769	-15.946730444420766	3.0782662663849294	5.418915456031937	5.355393426683463	5.325234668719717	4.90668607699069	4.1206839967093964	5.257726211161945	6.221570248668137	5.472678082065389	3.8602446606514897	3.234756128565359	4.465925815430159	5.001277665203552	2.4013796066967643	1.6064497318268764	6.8985573817406	5.940623263152666
Blautia	1.589964134150347	1.660459144834948	1.8162400294508734	1.6622847957299731	0.07628193505433956	1.4111657753637097	1.1057422559023324	2.5945888973329003	0.6323917433028878	0.8162021868974643	1.2163396318978412	2.1950298466608187	1.3916327482989086	0.41020558794500595	3.010588876553986	1.6932637039881504	0.925804490463654	-0.28453776214776205	-19.846251510652188	2.5582146049552135	2.3710413872169953	2.231301891279027	2.198236690670398	0.8968169535904016	1.4911182995137144	1.9669221743321854	2.6920019216414834	1.9885428402288783	-19.846251510652188	2.8749746261061757	2.9683844388393323	1.2798092058465071	-19.846251510652188	1.93723222697502	0.8740098172739232	-0.22560598377142682	1.3759697774897255	2.8034503655141565	-19.846251510652188	-19.846251510652188	0.8172643218884481	-19.846251510652188	2.2821304416547	2.563598447904977	2.0781832032874243	2.1923495984736183	2.3037306019130286	1.17266456839518	3.6793438730434405	-2.060449039135793	0.8578315068774485	-19.846251510652188	1.27579044625159	1.4975908140193317	1.2710813894500168	2.3384161599009188	2.6946039722232955	2.631071928338266	1.2751190799960943	1.7453745244108267	1.616567879668323	2.7792710952852557	2.377083701672958	3.0349204079188246	-1.178710688768298	0.07628193505433956	1.7653170216282081	2.1156783704100883	-0.9008422377648415	1.2374820684716505	-1.0068604318416385	2.3113843106456757	2.26730070868365	2.3872946671951043	2.2860481743836027	2.700756841375328	1.8474143838154093	2.0775813374853245	2.440408300226916	3.641570876836739	2.032321958638877	1.540217630481095	1.86655551990797	3.065086032499507	1.8758062796801207	2.1856173796982405	3.1941924215911675	2.4662495314108037
Clostridium sensu stricto 1	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	11.048341537705952	10.289811597883155	12.674101218625747	12.12993213880463	11.432483876345295	10.898401390415037	11.860677235531014	11.370241567468074	11.775706675576238	-7.829764053285289	11.534822589574205	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	10.19043912406995	-7.829764053285289	-7.829764053285289	11.478807948019533	-7.829764053285289	10.234241746728344	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	10.550094696146822	-7.829764053285289	9.956038418231106	-7.829764053285289	11.156230499717136	10.822028411630463	-7.829764053285289	9.723416122962353	11.823476951844924	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	10.814060241981286	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	-7.829764053285289	10.853280955134567	9.699318571383293	12.954596883020933	11.569242813460683	13.519974830953075	13.536933371975135	13.088245860453632	10.342455331368576	8.758335226918765	11.587865325558685	11.003026341493909	11.631193402322221	12.473430523163595	12.009194097640018	11.16753005497107	11.18975319175578
Collinsella	-17.06950920854127	-17.06950920854127	-17.06950920854127	-17.06950920854127	3.190132606123443	1.893495826236455	1.6211986726241534	1.6288032720093728	-17.06950920854127	-17.06950920854127	0.04183821542733135	3.009399612014626	0.11329717940947637	0.4595734161273102	4.086836903546277	3.7481573038266234	1.1527205966872556	-0.20947621285357476	-17.06950920854127	3.826869246113784	3.6929773415584206	3.281242620436661	1.533493092205048	4.435372456952693	2.976482797001484	4.78386758413262	2.632105380873158	-17.06950920854127	-17.06950920854127	2.879399392419651	2.170951366904405	2.097859482899069	3.5040958538507327	2.517442472553018	0.24250891088948245	1.6288032720093728	1.5581857047954193	3.539467482003012	2.479342626320748	3.491237698907365	0.4095629955526485	3.077503199316693	2.629323737911281	3.2027710049951654	3.4516404442830053	2.321950452569318	4.041057765885633	3.683315430646684	3.3923918642707314	-17.06950920854127	-0.20947621285357476	-17.06950920854127	2.049306257482078	1.3999616995805253	2.153173120883121	3.73809777683889	3.3740427256025356	4.369643295934574	2.7399627767295716	1.9164853444611536	2.577883826706519	3.2352062807483195	2.387908420361116	3.6725783826457272	-17.06950920854127	4.3573490668266235	3.1429310046391485	1.0086812264643177	0.3569192620672266	2.1119773644448534	-0.03512282570879721	2.0641213432672183	4.043769631954382	4.149062440513093	4.152104730660017	3.616054761221128	3.6457244567078746	3.529326550026962	4.42154735196085	5.018060971633414	2.825934544518592	3.3897910825706745	4.005820959786188	3.5822606267000694	3.2970816844664066	2.0292050781609907	3.4418002664814935	3.057736158575917
Dorea	4.557342450820966	4.538294255850271	4.430080671210038	4.6589222436388855	-14.32707230936354	5.056782752361831	-14.32707230936354	4.415691933757939	3.4774222951650087	-14.32707230936354	4.179786130829878	3.4957714338332053	4.563612063834561	3.099356161244958	6.3881613558856065	-14.32707230936354	-14.32707230936354	-14.32707230936354	-14.32707230936354	6.426722732617694	5.789224043263978	6.341737341786812	5.819940098494425	3.8951574958649875	6.385132580223447	6.4354142407361525	5.892012446535549	5.851466352141199	-14.32707230936354	6.440210412999646	6.746145925760777	4.242028439707099	-14.32707230936354	4.771641977338723	4.886600950118487	-14.32707230936354	4.6589222436388855	-14.32707230936354	-14.32707230936354	-14.32707230936354	-14.32707230936354	-14.32707230936354	4.900084300455774	-14.32707230936354	4.969077171942725	-14.32707230936354	4.624236685650996	5.090557069480435	-14.32707230936354	-14.32707230936354	4.2506121833984905	-14.32707230936354	4.60643206101749	3.662825518496371	4.332625335059325	6.10851145513109	-14.32707230936354	6.1400101221904615	6.184237165659225	4.868335602141194	6.040946135635324	6.599134371579561	5.639041017047013	5.634767506269632	-14.32707230936354	-14.32707230936354	3.965775063078941	5.489853126561885	-14.32707230936354	4.719546865455321	2.9541741514004602	5.363368979452765	5.932569505301175	6.402175599260419	6.468514189162497	6.898785346421758	6.3501495890814645	6.4430771134817215	6.570146834706309	6.07322964098645	6.382094603203369	5.908433176747876	5.880355361993336	6.3501495890814645	5.860050095832591	5.487374810547417	6.764302849147267	6.490594203004355
Escherichia-Shigella	-14.230576416166333	-14.230576416166333	-14.230576416166333	-14.230576416166333	4.303433013093034	6.618440626085637	4.595569435894196	7.573137738820516	3.346134257491503	4.2000546586392	3.081441703264421	7.5470014505516065	-14.230576416166333	-14.230576416166333	7.880233001300399	4.452468592253522	5.425575799171338	-14.230576416166333	-14.230576416166333	4.050842260452524	4.303433013093034	2.2929843429001506	8.887944848615431	5.657978675898345	8.565861349446319	4.602213978612864	4.452468592253522	5.8213037320016445	3.8334293838472995	3.645377152344359	-14.230576416166333	-14.230576416166333	2.9522299717844147	5.4457203652638055	4.149282333265776	-14.230576416166333	-14.230576416166333	6.541479584949509	5.402045301761144	3.6792787040200405	5.023013450721136	-14.230576416166333	5.6228050617200775	5.009884159279343	4.873201172492475	3.140282203287354	4.6786843426047025	7.638821225416163	2.4181474858541563	3.081441703264421	5.748248945832581	6.869068947993145	6.571500601204367	-14.230576416166333	4.978561688150302	1.5308442908532536	-14.230576416166333	4.955572169925603	6.359158028155554	-14.230576416166333	7.658960357922001	2.675976595156256	7.950606525572936	5.7772966312728125	-14.230576416166333	5.7118033259121255	5.275293596122	7.215880722688399	-14.230576416166333	-14.230576416166333	-14.230576416166333	2.7629879721458863	2.069840791585941	-14.230576416166333	3.1112946664141017	-14.230576416166333	4.888239049857016	3.4969571472260865	4.504915067626065	6.175235189994626	7.254429392805634	8.016133620047203	3.222520301524326	4.09579364831479	3.4561351527058317	6.3147582122874155	-14.230576416166333	3.8616002608139954
Paraclostridium	4.444910067062118	-13.377933676134626	-13.377933676134626	5.434789155593761	-13.377933676134626	-13.377933676134626	5.817474235370106	-13.377933676134626	-13.377933676134626	-13.377933676134626	-13.377933676134626	4.891924178083154	-13.377933676134626	5.938835092374374	-13.377933676134626	6.131309020632346	6.438991759790797	-13.377933676134626	1.5361891704977566	6.9971921193228885	7.328186001976813	8.071430441511415	5.257858447434684	7.797044520085268	5.09153723198717	8.005956149666169	7.134611129496131	6.751124928106742	7.412055792854692	7.766670618076239	6.7438521687776625	-13.377933676134626	-13.377933676134626	-13.377933676134626	-13.377933676134626	5.022544360500219	-13.377933676134626	-13.377933676134626	4.126456335943583	-13.377933676134626	4.86839368067296	4.531921444051747	-13.377933676134626	5.657932706907971	-13.377933676134626	4.700256758870962	7.435172864811573	5.619360432121732	5.001925073297483	1.8238712429495374	-13.377933676134626	-13.377933676134626	-13.377933676134626	7.012652722429267	6.934351872015509	6.600891685864288	5.1010159759417135	7.5644676907284545	5.930638325170195	4.287724483539705	4.611964151725283	7.904947948747206	-13.377933676134626	6.072366484998896	-13.377933676134626	5.590868476327426	6.800604985370112	-13.377933676134626	-13.377933676134626	5.8625268993110495	-13.377933676134626	5.225068624611692	6.829493995222249	7.5125400797956905	8.144189795793844	6.950806992741954	8.643068494949883	8.559354300990721	8.193772225777765	7.0196020207224725	4.564711266874738	6.315312663609285	7.827140835507282	7.18045751762155	6.648176958854299	6.566627091890192	6.784966091485657	7.562055144323071
Roseburia	2.654930937135137	2.9358097699141767	2.5381572015428056	2.4365366211993367	-18.618188910544742	2.7464043582318167	1.5323758989175902	2.185734829419123	1.6270411254586685	0.9044319121684063	0.8842970037593512	2.1346357286432127	1.7267404856817565	1.1348578525019573	2.7521801684602067	-18.618188910544742	1.108118291460058	-0.43323050011344755	0.515441641263747	4.248197244744687	3.6795092296369534	3.875782986431891	2.4536188871102116	1.971545533777145	3.2572299819978072	2.988017678594269	2.693974085587814	2.648563332407207	1.84371216226726	3.6263391479320424	4.077629006403403	1.950759566017311	-18.618188910544742	2.6681154216145933	1.72965593964188	1.2818210604947025	2.3153378518848644	2.660684692939552	-18.618188910544742	-18.618188910544742	1.1837736527039686	-18.618188910544742	3.2907839219207107	2.269743547956902	1.961206555981966	2.7299452662083192	3.220546332136201	2.5072031332443174	3.4036323732135516	-18.618188910544742	1.3132137729025652	-18.618188910544742	2.031430386233369	2.62208340924274	2.6088779352306943	3.8916563355881815	2.7901919352643487	3.4022668124387385	3.4047234807958864	2.016245712695052	4.259394002726611	3.444279679987708	2.973017397334776	3.3658080645462123	-18.618188910544742	-18.618188910544742	3.5411133794163723	1.3606364514541722	-18.618188910544742	2.2094369417259108	0.3678056424576823	2.5283819526381635	3.964339268731309	3.917129098897486	3.8556671185916516	3.827307666310891	3.4863587456980136	3.3379286902779812	3.5158199679238686	4.238533056387742	3.6091543231779424	3.5590299359953734	2.53555979748512	3.2883366891300616	2.58317272554474	3.177002949807272	4.119046177783841	3.7333365930763565
Ruminococcus	2.1876485947376736	2.6953686259455107	2.2999616297103813	2.541865740401449	-18.279433836816327	1.8423520080959621	1.3561596515003078	2.258706516003395	-0.6352818823629587	0.8926629958199586	-0.03310648000874039	1.2230520774877665	1.539963788254485	1.4576551407917622	2.516152661709709	-18.279433836816327	1.4736129262303725	0.10042491261578235	1.0967583521634738	3.493604123378719	1.746676798172599	3.67988469791943	1.3968629446138117	1.259661823100327	1.5424298807496788	2.5364111814231762	3.2587542376159497	3.606357614541846	-18.279433836816327	2.280135907459294	3.1294509142692366	3.036606206543241	-18.279433836816327	2.276596080754169	0.5599572419942227	0.6236730563803299	2.6653742700773195	1.8423520080959621	-2.384481737172218	-18.279433836816327	1.5300381484545156	-18.279433836816327	2.469499746878661	2.847962885225111	1.1636978348385831	2.251460107482627	2.473390802371628	1.5522338808463	4.055267915226857	-1.5735515209558892	0.5196833428562826	-18.279433836816327	2.072768318739251	3.320133723787875	1.7782999866031117	3.011415957714683	2.793784398307989	3.6755172430225542	1.0041368622830777	3.310512231450904	0.4989213514078532	3.324288278995022	2.461671918258414	2.0358637618038005	0.47055065427863774	-18.279433836816327	4.265312070807219	1.7222853450484399	-18.279433836816327	2.9138356293758187	0.5467120152442018	3.7591672723094796	3.3795331255240617	3.5441095681172534	2.966190859709747	3.264932545000489	3.608856054317444	3.8474749995845876	3.4648430427746417	0.42642584936969996	0.5986717541749131	1.7077773185588612	1.4603325185624785	3.60197026811222	2.8853075457612807	1.893918987656046	3.35691760105529	2.8885178213915292
Streptococcus	8.372353311325131	9.991007878864155	10.286685425092132	10.844837441114574	8.376972257181425	-10.818435654323308	-10.818435654323308	7.485711273373106	-10.818435654323308	-10.818435654323308	-10.818435654323308	-10.818435654323308	-10.818435654323308	-10.818435654323308	8.324951072430547	-10.818435654323308	8.426420532595406	-10.818435654323308	-10.818435654323308	8.065979105861198	-10.818435654323308	5.830288247697181	-10.818435654323308	8.040500020560213	11.840978554476463	9.090644673686102	-10.818435654323308	8.173224636214794	9.147677672087244	-10.818435654323308	-10.818435654323308	11.141463769188588	6.928900536365291	-10.818435654323308	-10.818435654323308	7.952901961242226	10.901409745726061	-10.818435654323308	-10.818435654323308	7.2737410226570205	-10.818435654323308	-10.818435654323308	9.0156681181372	7.759248838438722	-10.818435654323308	8.617475769358116	-10.818435654323308	11.101476211562579	-10.818435654323308	8.10906269199751	-10.818435654323308	-10.818435654323308	8.08467123887335	-10.818435654323308	-10.818435654323308	-10.818435654323308	6.552422965130379	7.894914703591876	11.702737382437393	11.744109167819134	12.348654387309873	8.666955826621486	9.796130765699761	8.823075011021416	8.290379728365458	-10.818435654323308	-10.818435654323308	8.63898197457908	-10.818435654323308	11.235347528273996	-10.818435654323308	11.148408241541398	7.507934410157816	9.250903715216438	-10.818435654323308	5.636132233256224	-10.818435654323308	-10.818435654323308	-10.818435654323308	9.723308305999712	12.60914006410959	11.28031634502639	7.366522756107987	-10.818435654323308	7.022426594376116	7.994287177405081	-10.818435654323308	8.320084882779375
